Administrador;Número de Documentos
BTG Pactual Serviços Financeiros;1424
BNY Mellon Serviços Financeiros;948
BEM DTVM;720
Intrag DTVM;477
BB Asset Management;436
XP Investimentos;427
Banco Bradesco;372
Itaú Unibanco;363
Safra Asset Management;341
BNP Paribas;246
Santander Caceis;243
Banco Daycoval;170
Credit Suisse Hedging-Griffo Corretora;133
Santander DTVM;113
Banco Santander;100
Warren;71
Modal DTVM;60
Banco Genial;40
Caixa Econômica Federal;38
Banco Inter DTVM;36
SulAmérica Investimentos;34
Vórtx;33
Órama;31
Singulare Invest;23
BV Asset;22
Banco Alfa de Investimento;18
Sicredi;13
BRL Trust Investimentos;12
Planner Corretora;11
Trustee DTVM;9
Nova Futura Investimentos;8
MAF;8
Master CCTVM;8
Azumi DTVM;7
RJI Corretora de Valores;7
4UM Investimentos;6
CM Capital;6
CA Indosuez Wealth Management;5
Fram Capital;5
Índigo DTVM;5
Monetar;4
SimPaul;4
BFL Capital;4
Intra Investimentos;4
Dynamo Administração de Recursos;4
FIDD;4
Ativa Investimentos;4
BRB DTVM;3
REAG Investimentos;3
Banrisul Corretora;3
Banestes DTVM;2
ID Serviços Financeiros CTVM;2
Lastro RDV DTVM;2
FINAXIS Corretora;2
Finvest DTVM;2
Banco Fator;2
Principal Gestão de Investimentos;1
Hedge Investments;1
Western Asset;1
Necton;1
MDL Trust;1
Oliveira Trust;1
