CNPJ do Fundo;Nome do Fundo;Administrador;Regulamento
33.625.603/0001-38;4UM MAIS FUTURO CONSERVADOR FIC MULTIMERCADO;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R33625603000138.pdf
49.937.222/0001-24;MINUANO FI RENDA FIXA REFERENCIADO DI;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R49937222000124.pdf
33.624.828/0001-70;EQTPREV STRATEGY FIC MULTIMERCADO;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R33624828000170.pdf
28.581.516/0001-96;NNBR FI RENDA FIXA REFERENCIADO DI;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R28581516000196.pdf
42.449.703/0001-41;TERRAZUL II FI MULTIMERCADO CRÉDITO PRIVADO;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42449703000141.pdf
33.625.506/0001-45;4UM LONG BIASED FI MULTIMERCADO;4UM Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R33625506000145.pdf
29.107.353/0001-77;KINGS AVANTGARDE FI AÇÕES BDR NÍVEL I;Ativa Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R29107353000177.pdf
45.024.982/0001-90;ATIVA HEDGE FI MULTIMERCADO;Ativa Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R45024982000190.pdf
28.146.872/0001-81;HOSSEGOR FI AÇÕES BDR NÍVEL I;Ativa Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R28146872000181.pdf
36.416.567/0001-90;AMAZÔNIA ENHANCED INCOME FI MULTIMERCADO;Ativa Investimentos;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36416567000190.pdf
44.570.960/0001-62;METAL BANK ASSET BM FIC MULTIMERCADO CRÉDITO PRIVADO;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R44570960000162.pdf
47.640.501/0001-04;MOGNO FIC MULTIMERCADO CRÉDITO PRIVADO;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R47640501000104.pdf
44.638.439/0001-10;DIAMANTE FIC RENDA FIXA REFERENCIADO DI;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R44638439000110.pdf
46.893.262/0001-23;MOVVIME FIC RENDA FIXA REFERENCIADO DI LP;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R46893262000123.pdf
48.947.605/0001-10;VB+ FI MULTIMERCADO;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R48947605000110.pdf
49.749.340/0001-09;AGRONEGÓCIOS ASSET BANK FIC MULTIMERCADO CRÉDITO PRIVADO;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R49749340000109.pdf
44.585.287/0001-34;ASSET BANK FIC MULTIMERCADO CRÉDITO PRIVADO;Azumi DTVM;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R44585287000134.pdf
35.162.728/0001-02;MARFALAH FI AÇÕES;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R35162728000102.pdf
35.162.746/0001-86;AZ QUEST ALFAPREV FIC MULTIMERCADO PREVIDENCIÁRIO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R35162746000186.pdf
36.368.581/0001-66;OCCAM ALFAPREV FIC MULTIMERCADO PREVIDENCIÁRIO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36368581000166.pdf
35.162.693/0001-01;MONTALCINO INVESTIDOR PROFISSIONAL FI RENDA FIXA CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R35162693000101.pdf
40.170.970/0001-50;ALFAPREV PRATA FI MULTIMERCADO PREVIDENCIÁRIO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R40170970000150.pdf
42.405.658/0001-23;NICA FI AÇÕES BDR NÍVEL I;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42405658000123.pdf
36.368.735/0001-10;JGP ALFAPREV FIC MULTIMERCADO PREVIDENCIÁRIO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36368735000110.pdf
36.368.438/0001-74;RF TRUCK INVESTIDOR PROFISSIONAL FI MULTIMERCADO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36368438000174.pdf
40.156.669/0001-91;ALFAPREV SIRIUS FI RENDA FIXA PREVIDENCIÁRIO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R40156669000191.pdf
40.170.950/0001-89;ALFAPREV PLATINA FI MULTIMERCADO PREVIDENCIÁRIO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R40170950000189.pdf
36.368.502/0001-17;VIC JB RIZA MEYENII IQ FIC MULTIMERCADO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36368502000117.pdf
42.405.744/0001-36;ACREFI INVESTIMENTO NO EXTERIOR FI MULTIMERCADO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42405744000136.pdf
36.368.646/0001-73;ALFA CASH FI RENDA FIXA REFERENCIADO DI;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36368646000173.pdf
42.407.271/0001-06;ALFAPREV AZUL INVESTIDOR PROFISSIONAL FI MULTIMERCADO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42407271000106.pdf
35.162.764/0001-68;LEBLON 100 ALFAPREV QUALIFICADO FIC MULTIMERCADO PREVIDENCIÁRIO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R35162764000168.pdf
40.170.931/0001-52;ALFAPREV PÉROLA FI MULTIMERCADO PREVIDENCIÁRIO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R40170931000152.pdf
36.335.774/0001-10;ZC10 INVESTIDOR PROFISSIONAL FI MULTIMERCADO CRÉDITO PRIVADO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36335774000110.pdf
42.407.193/0001-40;GUEPARDO 100 ALFAPREV QUALIFICADO FIC MULTIMERCADO PREVIDENCIÁRIO;Banco Alfa de Investimento;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42407193000140.pdf
45.319.999/0001-74;BRADESCO TARGET DATE 2060 PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R45319999000174.pdf
38.657.181/0001-04;VINCI FATORIAL DINÂMICO ÁGORA FIC AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R38657181000104.pdf
42.066.367/0001-58;BRADESCO TRUXT FIE II FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42066367000158.pdf
38.351.815/0001-98;BRADESCO V30/65 PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R38351815000198.pdf
41.575.396/0001-82;BRADESCO LEGACY CAPITAL II PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R41575396000182.pdf
41.575.508/0001-03;BRADESCO CLARITAS LONG SHORT PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R41575508000103.pdf
36.620.118/0001-60;ATLAS ONE ÁGORA FIC AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36620118000160.pdf
42.007.478/0001-93;BRADESCO BLEND PIMCO BRAM PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R42007478000193.pdf
41.799.935/0001-67;BRADESCO BRASIL CAPITAL PGBL/VGBL FIC AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R41799935000167.pdf
35.847.890/0001-56;BRADESCO ALAB I PGBL/VGBL FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R35847890000156.pdf
39.151.551/0001-91;BRADESCO CHINA INVESTIMENTO NO EXTERIOR FI AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R39151551000191.pdf
41.837.703/0001-56;BRADESCO CONSTELLATION PGBL/VGBL FIC AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R41837703000156.pdf
36.619.783/0001-33;GAP ABSOLUTO ÁGORA FIC MULTIMERCADO;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R36619783000133.pdf
37.280.206/0001-22;IBIUNA EQUITIES 30 ÁGORA FIC AÇÕES;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R37280206000122.pdf
37.280.263/0001-01;SULAMÉRICA ATIVO ÁGORA FIC RENDA FIXA LP;Banco Bradesco;https://hackathonquantumpuc.blob.core.windows.net/arquivos/R37280263000101.pdf
